"X","site_row_id","STATE","county","ADDRESS","CITY","ycoord","xcoord","SITE_DESCRIPTION","service_or_fuel","diesel","twentyfour_hour_flag","car_wash","truckstop_flag","description","PUMP_TECH","POC","HIFCA","ZIPnew","POCAGE","POCGAP","ZIPPOC","HFG","MSA","dist.to.poc","cate.poc.density","cate.poc.age","cate.poc.age.20","cate.poc.intensity","cate.poc.intensity.tot","MSA_POC","MSA_POC.1"
67401,"1-3JDIWUL","CA","Alameda","38995 FARWELL DR","FREMONT",37.53369,-122.002,"San Francisco-Oakland-Fremont CA","Fuel","N","Y","N","N","URBAN","O",0,1,94536,NA,NA,0,0,5775,5.13505235369367,"(1,5]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
31199,"1-IAIXND","OH","Hamilton","5394 N BEND RD","CINCINNATI",39.187949,-84.602106,"Cincinnati-Middletown OH-KY-IN","Fuel","N","N","N","N","URBAN","O",0,1,45247,NA,NA,0,0,1640,4.45354330662491,"(1,5]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",0,0
17435,"1-8FCX-51","TX","Harris","TOMBALL PKWY","HOUSTON",29.922779,-95.497742,"Houston-Sugar Land-Baytown TX","Fuel","N","Y","N","N","URBAN","O",0,1,77086,NA,NA,0,1,3360,5.39287468063492,"(5,Inf]",NA,NA,"(5,Inf]","(8,Inf]",1,1
28002,"1-C430-10","OH","Hamilton","4300 KELLOGG AVE","CINCINNATI",39.102047,-84.432719,"Cincinnati-Middletown OH-KY-IN","Fuel","Y","Y","N","N","URBAN","O",0,1,45226,NA,NA,0,0,1640,7.98717927636113,"(1,5]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
8687,"1-40CI-2805","TX","Gregg","1801 S HIGH ST","LONGVIEW",32.471489,-94.741951,"Longview TX","Fuel","N","N","N","N","URBAN","O",0,0,75602,NA,NA,1,0,4420,3.8415723659269,"(5,Inf]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",0,0
46843,"1-14SPEPO","TN","Roane","116 S ROANE ST","HARRIMAN",35.92802,-84.55774,"RURAL","Fuel","N","N","N","N","RURAL","O",0,1,37748,NA,NA,0,0,0,43.2144209663946,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
29975,"1-IA5STT","CA","San Diego","3711 CAMINO DEL RIO W","SAN DIEGO",32.754598,-117.204872,"San Diego-Carlsbad-San Marcos CA","Fuel","Y","Y","N","Y","URBAN","O",0,1,92110,NA,NA,0,0,7320,17.5792981623281,"(1,5]","(140,Inf]","(0,15]","(-0.0001,0]","(-0.0001,0]",0,0
28966,"1-HZWHWM","MO","Jefferson","4671 HWY W","HOUSE SPRINGS",38.414524,-90.584196,"St. Louis MO-IL","BOTH","Y","Y","N","N","URBAN","O",0,1,63051,NA,NA,0,0,7040,17.5420444449846,"(-1e-06,1]","(140,Inf]","(15,140]","(-0.0001,0]","(-0.0001,0]",0,0
27372,"1-C0FU-149","AZ","Maricopa","9714 N 7TH ST","PHOENIX",33.574274,-112.065186,"Phoenix-Mesa-Scottsdale AZ","Fuel","N","Y","N","N","URBAN","O",0,1,85020,NA,NA,0,0,6200,13.9127743830619,"(1,5]","(15,140]","(0,15]","(0,5]","(0,8]",0,0
25217,"1-B03R-7","OK","Rogers","30505 S 4250 RD","INOLA",36.171972,-95.440005,"Tulsa OK","Fuel","Y","N","N","Y","URBAN","O",0,0,74036,NA,NA,0,0,8560,38.9781993901909,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
30273,"1-IA83BW","SC","Darlington","2103 W BOBO NEWSOM HWY","HARTSVILLE",34.360713,-80.125367,"RURAL","Fuel","Y","Y","N","Y","RURAL","O",0,0,29550,NA,NA,0,0,0,37.788725915718,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
6785,"1-40CU-589","FL","Lee","2311 BUCKINGHAM RD","FORT MYERS",26.70964,-81.721023,"Cape Coral-Fort Myers FL","Fuel","Y","Y","N","Y","URBAN","O",0,0,33905,NA,NA,1,1,2700,10.3496831719617,"(1,5]","(15,140]","(15,140]","(0,5]","(8,Inf]",0,0
20314,"1-8WY4-473","MA","Norfolk","10 MAIN ST","FOXBORO",42.065994,-71.251736,"Boston-Cambridge-Quincy MA-NH","Fuel","N","N","N","N","URBAN","O",0,0,2035,NA,NA,0,0,1120,42.4099238817828,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
54603,"1-1APOINN","CA","Orange","801 N BRISTOL ST","SANTA ANA",33.75155,-117.8851,"Los Angeles-Long Beach-Santa Ana CA","Fuel","N","Y","N","N","URBAN","C",0,1,92703,NA,NA,0,1,5945,5.00560714577884,"(1,5]","(15,140]","(15,140]","(0,5]","(8,Inf]",0,0
20286,"1-8WY4-1033","FL","Duval","6573 COMMONWEALTH AVE","JACKSONVILLE",30.335771,-81.754323,"Jacksonville FL","Fuel","Y","N","N","Y","URBAN","O",0,1,32254,NA,NA,1,1,3600,0.226841750135687,"(5,Inf]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",0,0
45540,"1-11R639X","MA","Suffolk","520 BRDWAY","REVERE",42.41232,-71.01091,"Boston-Cambridge-Quincy MA-NH","Fuel","Y","N","N","N","URBAN","E",0,1,2151,NA,NA,0,0,1120,34.5011426950551,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
50333,"1-1APDU7J","GA","Gwinnett","1925 INDIAN TRAIL LILBURN RD","NORCROSS",33.93077,-84.17776,"Atlanta-Sandy Springs-Marietta GA","Fuel","N","N","N","Y","URBAN","C",0,1,30071,NA,NA,0,0,520,2.28132654315567,"(5,Inf]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",1,1
66751,"1-3FN8PPP","TX","Harris","426 E LITTLE YORK RD","HOUSTON",29.86986,-95.39423,"Houston-Sugar Land-Baytown TX","Fuel","N","Y","N","N","URBAN","V",0,1,77076,NA,NA,0,1,3360,0.936642208535685,"(5,Inf]","(0,15]",NA,"(5,Inf]","(8,Inf]",1,1
46012,"1-12Y2KLS","MI","Macomb","30200 GRATIOT AVE","ROSEVILLE",42.51867,-82.9224,"Detroit-Warren-Livonia MI","Fuel","Y","N","N","N","URBAN","O",0,1,48066,NA,NA,0,0,2160,23.3897205930114,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
44619,"1-ZUC9EZ","CO","Summit","50 FRONTAGE RD","FRISCO",39.57523,-106.1039,"RURAL","Fuel","Y","Y","N","Y","RURAL","O",0,0,80443,NA,NA,0,0,0,6.42204696216092,"(-1e-06,1]","(15,140]","(15,140]","(0,5]","(8,Inf]",0,0
6826,"1-40CU-712","MI","Monroe","1225 DEXTER ST","MILAN",42.096394,-83.676599,"Monroe MI","Fuel","Y","N","N","N","URBAN","O",0,0,48160,NA,NA,0,0,2160,31.9747538745361,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
44636,"1-ZUKO97","NJ","Camden","405 E CLEMENTS BRIDGE RD","RUNNEMEDE",39.85363,-75.0666,"Philadelphia-Camden-Wilmington PA-NJ-DE-","Fuel","N","N","N","N","URBAN","O",0,1,8078,NA,NA,0,0,6160,33.4395257816152,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
63087,"1-2KNZDZ8","FL","Pinellas","706 DREW ST","CLEARWATER",27.96818,-82.79632,"Tampa-St. Petersburg-Clearwater FL","Fuel","N","Y","N","N","URBAN","C",0,1,33755,NA,NA,0,1,8280,4.08295622035927,"(1,5]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",1,1
27594,"1-C0FU-744","AZ","Pima","2880 W INA RD","TUCSON",32.337473,-111.029035,"Tucson AZ","Fuel","N","Y","N","N","URBAN","O",0,1,85741,NA,NA,0,0,8520,24.6785150992282,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
45053,"1-10SECC7","KY","Mason","651 BERNARD COUGHLIN","MAYSVILLE",38.64324,-83.76309,"RURAL","Fuel","Y","N","N","N","RURAL","O",0,0,41056,NA,NA,0,0,0,26.7338430431461,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
20622,"1-8WY7-596","SC","Richland","7415 GARNERS FERRY RD R","COLUMBIA",33.968749,-80.946031,"Columbia SC","Fuel","N","N","N","N","URBAN","O",0,1,29209,NA,NA,0,0,1760,45.3950868133486,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
24984,"1-AS69-3","IN","Marion","441 E OHIO ST","INDIANAPOLIS",39.769707,-86.149522,"Indianapolis-Carmel IN","Fuel","Y","Y","N","N","URBAN","O",0,1,46204,NA,NA,0,0,3480,47.3977081620086,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
22300,"1-9X92-4","GA","Chatham","100 MAGELLAN BLVD","PORT WENTWORTH",32.16984,-81.18663,"Savannah GA","Fuel","Y","Y","N","N","URBAN","O",0,0,31407,NA,NA,0,0,7520,8.64779701200667,"(1,5]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
6546,"1-40CJ-4501","PA","Carbon","577 DELAWARE AVE","PALMERTON",40.804675,-75.602521,"Allentown-Bethlehem-Easton PA-NJ","Fuel","N","Y","N","N","URBAN","O",0,0,18071,NA,NA,0,0,240,19.8264754751291,"(1,5]","(140,Inf]","(15,140]","(-0.0001,0]","(-0.0001,0]",0,0
47600,"1-16UE464","KS","Leavenworth","1703 10TH AVE","LEAVENWORTH",39.3006,-94.92756,"Kansas City MO-KS","Fuel","N","N","N","N","URBAN","O",0,1,66048,NA,NA,0,0,3760,37.4387452689654,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
55931,"1-1C4TF8Q","MS","Harrison","11160 LORRAINE RD","GULFPORT",30.44707,-89.03105,"Gulfport-Biloxi MS","BOTH","Y","Y","N","N","URBAN","O",0,1,39503,NA,NA,0,0,920,11.1061912287181,"(1,5]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
9465,"1-41YB-2","TN","Dickson","400 W END AVE","DICKSON",36.084623,-87.398366,"Nashville-Davidson--Murfreesboro--Frankl","Fuel","Y","N","N","N","URBAN","O",0,0,37055,NA,NA,0,0,5360,45.279903108292,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",1,1
8337,"1-40CB-4282","AL","Mobile","1091 INDUSTRIAL PKWY","SARALAND",30.801769,-88.096823,"Mobile AL","Fuel","Y","N","N","N","URBAN","O",0,1,36571,NA,NA,0,0,5160,15.8100959980227,"(-1e-06,1]","(140,Inf]","(0,15]","(-0.0001,0]","(-0.0001,0]",0,0
26740,"1-BS2J-1","GA","Oglethorpe","648 ATHENS RD","LEXINGTON",33.879076,-83.1188,"RURAL","Fuel","N","N","N","N","RURAL","O",0,0,30648,NA,NA,0,0,0,27.2983446086307,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
60909,"1-249V60K","CA","San Mateo","2901 SAN BRUNO AVE W","SAN BRUNO",37.61861,-122.4415,"San Francisco-Oakland-Fremont CA","Fuel","N","N","N","N","URBAN","O",0,1,94066,NA,NA,0,0,7360,9.03900962754176,"(1,5]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",0,0
17019,"1-899Y-7","FL","Miami-Dade","12001 SW 117TH AVE","MIAMI",25.656462,-80.383305,"Miami-Fort Lauderdale-Pompano Beach FL","Fuel","N","Y","N","N","URBAN","E",0,1,33186,NA,NA,0,1,5000,4.6662770236375,"(1,5]","(15,140]","(15,140]","(0,5]","(8,Inf]",0,0
68770,"1-42EA7KM","IL","Winnebago","515 E JEFFERSON ST","ROCKFORD",42.26916,-89.08525,"Rockford IL","BOTH","Y","Y","Y","N","URBAN","E",0,0,61107,NA,NA,0,0,6880,21.9245930080222,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
46687,"1-14CQOP9","NC","Catawba","5949 SHERRILLS FORD RD","CATAWBA",35.65165,-81.05425,"Hickory-Lenoir-Morganton NC","Fuel","Y","Y","N","N","URBAN","V",0,0,28609,NA,NA,0,0,3290,20.5545862518651,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
50981,"1-1APFCZ6","CA","Los Angeles","1105 N GAFFEY ST","SAN PEDRO",33.75408,-118.2923,"Los Angeles-Long Beach-Santa Ana CA","BOTH","Y","Y","Y","Y","URBAN","C",0,0,90731,NA,NA,0,1,4480,6.22733003186373,"(1,5]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",1,1
5484,"1-40C8-2596","MO","Saint Louis","698 GRAVOIS BLUFFS BLVD","FENTON",38.50768,-90.442115,"St. Louis MO-IL","BOTH","Y","Y","Y","N","URBAN","O",0,0,63026,NA,NA,0,0,7040,8.97829566548384,"(1,5]","(15,140]","(0,15]","(5,Inf]","(8,Inf]",0,0
61048,"1-25XDZFU","CO","Arapahoe","17050 SMITH RD","AURORA",39.75556,-104.7907,"Denver-Aurora-Broomfield CO","Fuel","Y","Y","N","Y","URBAN","O",0,1,80011,NA,NA,1,0,2080,2.65607317105551,"(5,Inf]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",0,0
12585,"1-5499-881","NJ","Union","205 US HWY 22","SPRINGFIELD",40.685995,-74.320606,"New York-Northern New Jersey-Long Island","Fuel","N","N","N","N","URBAN","O",0,1,7081,NA,NA,0,0,5640,1.75199026944254,"(1,5]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
28176,"1-C7CK-11","TX","Dimmit","19682 HWY 83 SOU","CATARINA",28.345171,-99.614129,"RURAL","Fuel","Y","Y","N","Y","RURAL","O",0,1,78836,NA,NA,0,0,0,38.4923210027971,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
14026,"1-63PH-9","TX","Morris","303 WATSON","DAINGERFIELD",33.028166,-94.730399,"RURAL","Fuel","N","Y","N","N","RURAL","O",0,0,75638,NA,NA,0,0,0,19.5581550576596,"(-1e-06,1]","(140,Inf]","(0,15]","(-0.0001,0]","(-0.0001,0]",0,0
44318,"1-Z8EGHR","CA","Fresno","1175 N FOWLER AVE","CLOVIS",36.81688,-119.6819,"Fresno CA","Fuel","N","Y","N","N","URBAN","V",0,1,93611,NA,NA,0,0,2840,8.89010678721936,"(5,Inf]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
40360,"1-SXRSG2","CT","Windham","49 MAIN ST","DANIELSON",41.80367,-71.88544,"RURAL","BOTH","Y","N","Y","N","RURAL","O",0,0,6239,NA,NA,0,0,0,41.0968644300233,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
33449,"1-IOUS5D","CA","Los Angeles","2 E DUARTE RD","ARCADIA",34.129507,-118.030885,"Los Angeles-Long Beach-Santa Ana CA","Fuel","Y","Y","N","Y","URBAN","O",0,0,91006,NA,NA,0,1,4480,15.4280124870446,"(5,Inf]","(140,Inf]","(0,15]","(-0.0001,0]","(-0.0001,0]",1,1
17502,"1-8G65-3","TN","Davidson","714 STEWARTS FERRY PK P","NASHVILLE",36.15289,-86.625289,"Nashville-Davidson--Murfreesboro--Frankl","BOTH","Y","Y","N","Y","URBAN","O",0,0,37214,NA,NA,0,0,5360,27.3328987733449,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",1,1
54336,"1-1APNWYT","LA","Iberia","3005 LOREAUVILLE RD","NEW IBERIA",30.01203,-91.77323,"RURAL","Fuel","Y","Y","N","N","RURAL","C",0,0,70563,NA,NA,0,0,0,35.3855085475434,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
33158,"1-IB6TW9","AZ","Maricopa","1158 W UNIVERSITY DR","MESA",33.422183,-111.855046,"Phoenix-Mesa-Scottsdale AZ","Fuel","Y","N","N","N","URBAN","O",0,1,85201,NA,NA,0,0,6200,14.3708909985404,"(1,5]","(15,140]","(15,140]","(0,5]","(0,8]",0,0
40914,"1-TU9MPR","VA","Roanoke City","3842 SHENANDOAH AVE NW","ROANOKE",37.28012,-80.00373,"Roanoke VA","Fuel","N","N","N","N","URBAN","O",0,0,24017,NA,NA,0,0,6800,6.44862679992418,"(-1e-06,1]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
63515,"1-2O8C1LH","FL","Lee","1103 LEELAND HTS","LEHIGH ACRES",26.60798,-81.62492,"Cape Coral-Fort Myers FL","Fuel","Y","Y","N","N","URBAN","E",0,0,33936,NA,NA,0,1,2700,8.72199066630422,"(1,5]","(15,140]","(15,140]","(0,5]","(8,Inf]",0,0
61594,"1-29NGJ8N","IL","Grundy","129 E JACKSON ST","MORRIS",41.36022,-88.4234,"Chicago-Naperville-Joliet IL-IN-WI","Fuel","N","N","N","N","URBAN","O",0,1,60450,NA,NA,0,0,1600,35.7710919175144,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
64076,"1-2S03G9R","SC","Marlboro","336 HWY 9 W","BENNETTSVILLE",34.6366,-79.69972,"RURAL","Fuel","Y","Y","N","N","RURAL","O",0,0,29512,NA,NA,0,0,0,41.227794628847,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
52196,"1-1APINDN","TX","Chambers","9228 HWY 146 N # IH1","MONT BELVIEU",29.84754,-94.89085,"Houston-Sugar Land-Baytown TX","Fuel","N","Y","N","N","URBAN","C",0,0,77580,NA,NA,0,0,3360,9.9192481401809,"(1,5]","(0,15]","(0,15]","(5,Inf]","(8,Inf]",1,1
15547,"1-78M4-31","TX","Victoria","4901 JOHN STOCKBAUER DR","VICTORIA",28.822111,-96.950032,"Victoria TX","Fuel","Y","Y","N","N","URBAN","V",0,1,77904,NA,NA,0,0,8750,44.4277495737443,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
5220,"1-40D9-2808","AR","Cleburne","212 S 7TH ST","HEBER SPRINGS",35.49021,-92.036448,"RURAL","BOTH","N","N","N","N","RURAL","O",0,0,72543,NA,NA,0,0,0,47.7132464991105,"(-1e-06,1]","(140,Inf]","(140,Inf]","(-0.0001,0]","(-0.0001,0]",0,0
10335,"1-4KYS-615","FL","Miami-Dade","1781 NE 8TH ST","HOMESTEAD",25.477429,-80.452992,"Miami-Fort Lauderdale-Pompano Beach FL","Fuel","Y","N","N","Y","URBAN","E",0,1,33033,NA,NA,0,1,5000,1.13030289734971,"(-1e-06,1]","(0,15]","(0,15]","(0,5]","(0,8]",0,0
37328,"1-OECMQI","TN","Knox","5300 CENTRAL AVE PK","KNOXVILLE",36.011651,-83.970524,"Knoxville TN","Fuel","Y","N","N","N","URBAN","O",0,1,37912,NA,NA,0,0,3840,9.08580760184713,"(1,5]","(15,140]","(15,140]","(0,5]","(8,Inf]",0,0
25096,"1-AWL6-1","CO","La Plata","20453 HWY 160","DURANGO",37.266166,-107.920417,"RURAL","BOTH","Y","Y","Y","Y","RURAL","O",0,1,81301,NA,NA,1,0,0,4.16916498213611,"(-1e-06,1]","(15,140]","(15,140]","(0,5]","(0,8]",0,0
